TransID,EntryID,VisitorID,GuideID,AccID,VisitDate,ConservationFee,AccommFee,ActivityFee,TotalAmount,PaymentType,ModifiedDate
TRX-7264956,ENT-559381,VID-77839,FG-058,ACC-008,2024-12-09,460.0,1676.0,750.0,2886.0,Debit Card,2024-12-09 18:00:00
TRX-4860684,ENT-717024,VID-38864,FG-001,ACC-005,2024-01-11,110.0,662.0,550.0,1322.0,Credit Card,2024-01-11 17:00:00
TRX-9626108,ENT-349565,VID-46500,N/A,ACC-043,2024-06-18,110.0,676.0,0.0,786.0,Cash,2024-06-18 09:00:00
TRX-8930103,ENT-354801,VID-71993,FG-053,ACC-013,2024-10-19,110.0,2608.0,350.0,3068.0,Credit Card,2024-10-19 17:00:00
TRX-7897151,ENT-589710,VID-17100,FG-087,ACC-042,2024-06-30,110.0,3099.0,750.0,3959.0,Credit Card,2024-06-30 14:00:00
TRX-4214348,ENT-299448,VID-80292,FG-058,ACC-009,2024-02-25,110.0,2049.0,550.0,2709.0,Cash,2024-02-25 11:00:00
TRX-8434500,ENT-947272,VID-82132,FG-013,ACC-004,2024-05-07,110.0,1540.0,750.0,2400.0,WildCard_Credit,2024-05-07 09:00:00
TRX-9147706,ENT-604740,VID-38016,FG-052,ACC-004,2024-03-26,110.0,782.0,350.0,1242.0,Debit Card,2024-03-26 14:00:00
TRX-8633773,ENT-399105,VID-65444,FG-090,ACC-047,2024-05-15,230.0,408.0,750.0,1388.0,WildCard_Credit,2024-05-15 20:00:00
TRX-5977931,ENT-328275,VID-17665,FG-075,ACC-048,2024-03-20,460.0,3342.0,750.0,4552.0,WildCard_Credit,2024-03-20 11:00:00
TRX-8999183,ENT-627276,VID-79615,FG-021,ACC-004,2024-01-30,110.0,3463.0,550.0,4123.0,WildCard_Credit,2024-01-30 08:00:00
TRX-4946066,ENT-523389,VID-25713,N/A,ACC-037,2024-10-31,110.0,1161.0,0.0,1271.0,Debit Card,2024-10-31 09:00:00
TRX-8033426,ENT-789305,VID-86503,N/A,ACC-037,2024-11-13,460.0,2835.0,0.0,3295.0,WildCard_Credit,2024-11-13 09:00:00
TRX-6271130,ENT-350280,VID-44814,FG-051,ACC-009,2024-12-08,230.0,1468.0,350.0,2048.0,EFT,2024-12-08 19:00:00
TRX-2677407,ENT-176819,VID-80468,N/A,ACC-014,2024-01-05,230.0,1695.0,0.0,1925.0,WildCard_Credit,2024-01-05 15:00:00
TRX-7199635,ENT-398830,VID-30676,FG-057,ACC-035,2024-02-05,230.0,942.0,550.0,1722.0,EFT,2024-02-05 11:00:00
TRX-6022741,ENT-795613,VID-23577,N/A,ACC-009,2024-12-07,460.0,3078.0,0.0,3538.0,EFT,2024-12-07 16:00:00
TRX-4533779,ENT-852470,VID-54942,FG-027,ACC-044,2024-05-19,110.0,838.0,350.0,1298.0,EFT,2024-05-19 12:00:00
TRX-8106422,ENT-969634,VID-46265,FG-006,ACC-001,2024-01-27,460.0,2401.0,550.0,3411.0,EFT,2024-01-27 09:00:00
TRX-8412769,ENT-678478,VID-66057,FG-072,ACC-001,2024-03-23,110.0,3009.0,550.0,3669.0,Credit Card,2024-03-23 19:00:00
TRX-7194416,ENT-710805,VID-82420,FG-019,ACC-028,2024-10-06,110.0,3230.0,350.0,3690.0,Debit Card,2024-10-06 08:00:00
TRX-4524499,ENT-815198,VID-42706,FG-086,ACC-007,2024-01-21,110.0,1662.0,550.0,2322.0,EFT,2024-01-21 13:00:00
TRX-3970445,ENT-532322,VID-13248,FG-023,ACC-048,2024-05-01,460.0,2064.0,350.0,2874.0,EFT,2024-05-01 10:00:00
TRX-2813543,ENT-501124,VID-15075,FG-061,ACC-015,2024-05-16,230.0,3143.0,350.0,3723.0,Debit Card,2024-05-16 10:00:00
TRX-1397023,ENT-792094,VID-35313,FG-052,ACC-022,2024-04-26,230.0,1832.0,550.0,2612.0,EFT,2024-04-26 11:00:00
TRX-7705490,ENT-812526,VID-80282,FG-043,ACC-002,2024-11-24,110.0,1543.0,550.0,2203.0,Credit Card,2024-11-24 16:00:00
TRX-8290770,ENT-462479,VID-51114,FG-056,ACC-039,2024-01-20,230.0,1131.0,550.0,1911.0,WildCard_Credit,2024-01-20 09:00:00
TRX-8315831,ENT-101773,VID-78146,FG-069,ACC-044,2024-05-10,110.0,1977.0,350.0,2437.0,Debit Card,2024-05-10 08:00:00
TRX-6266630,ENT-795612,VID-26334,N/A,ACC-047,2024-12-06,230.0,2166.0,0.0,2396.0,EFT,2024-12-06 13:00:00
TRX-5960271,ENT-681343,VID-26683,FG-025,ACC-027,2024-06-16,460.0,1666.0,750.0,2876.0,Cash,2024-06-16 14:00:00
TRX-6049101,ENT-525800,VID-81819,FG-001,ACC-020,2024-11-11,460.0,3464.0,350.0,4274.0,EFT,2024-11-11 17:00:00
TRX-8418210,ENT-808446,VID-38010,FG-066,ACC-031,2024-08-26,110.0,2160.0,550.0,2820.0,Debit Card,2024-08-26 15:00:00
TRX-6623525,ENT-197923,VID-40784,FG-087,ACC-020,2024-09-20,460.0,747.0,550.0,1757.0,Debit Card,2024-09-20 18:00:00
TRX-8971465,ENT-740967,VID-19545,N/A,ACC-030,2024-01-24,110.0,1003.0,0.0,1113.0,Cash,2024-01-24 11:00:00
TRX-9294272,ENT-519066,VID-41979,FG-019,ACC-042,2024-12-22,460.0,2757.0,350.0,3567.0,Credit Card,2024-12-22 14:00:00
TRX-9689889,ENT-587115,VID-16582,FG-072,ACC-016,2024-03-31,110.0,2141.0,350.0,2601.0,Credit Card,2024-03-31 20:00:00
TRX-6323376,ENT-891937,VID-68008,FG-079,ACC-047,2024-12-07,230.0,946.0,750.0,1926.0,WildCard_Credit,2024-12-07 16:00:00
TRX-8963715,ENT-571932,VID-43972,FG-097,ACC-016,2024-03-22,230.0,2644.0,750.0,3624.0,EFT,2024-03-22 19:00:00
TRX-2299954,ENT-848206,VID-47450,FG-031,ACC-018,2024-05-20,460.0,2384.0,350.0,3194.0,EFT,2024-05-20 15:00:00
TRX-4879923,ENT-501641,VID-30028,N/A,ACC-046,2024-03-11,230.0,2612.0,0.0,2842.0,Debit Card,2024-03-11 10:00:00
TRX-8816912,ENT-535970,VID-18161,FG-027,ACC-027,2024-06-18,110.0,2099.0,750.0,2959.0,Cash,2024-06-18 16:00:00
TRX-9002392,ENT-106182,VID-56105,N/A,ACC-020,2024-10-21,460.0,3248.0,0.0,3708.0,Cash,2024-10-21 14:00:00
TRX-5579094,ENT-557007,VID-73654,FG-004,ACC-025,2024-09-06,230.0,2604.0,350.0,3184.0,EFT,2024-09-06 11:00:00
TRX-3141239,ENT-752483,VID-80008,FG-004,ACC-026,2024-03-25,460.0,3181.0,750.0,4391.0,WildCard_Credit,2024-03-25 15:00:00
TRX-8190929,ENT-242291,VID-70515,N/A,ACC-012,2024-02-12,460.0,3115.0,0.0,3575.0,Credit Card,2024-02-12 18:00:00
TRX-6483562,ENT-453894,VID-59692,FG-036,ACC-049,2024-04-18,230.0,1952.0,550.0,2732.0,Cash,2024-04-18 15:00:00
TRX-1873851,ENT-466960,VID-39389,FG-084,ACC-005,2024-01-10,230.0,735.0,750.0,1715.0,Credit Card,2024-01-10 19:00:00
TRX-3556551,ENT-350132,VID-26544,FG-061,ACC-043,2024-01-11,110.0,1412.0,350.0,1872.0,Credit Card,2024-01-11 17:00:00
TRX-7189034,ENT-275939,VID-89415,FG-078,ACC-048,2024-12-24,460.0,1292.0,750.0,2502.0,Credit Card,2024-12-24 12:00:00
TRX-6233774,ENT-703766,VID-98781,N/A,ACC-025,2024-10-23,110.0,1674.0,0.0,1784.0,Cash,2024-10-23 08:00:00
TRX-5074336,ENT-206851,VID-49529,N/A,ACC-044,2024-10-30,460.0,1212.0,0.0,1672.0,WildCard_Credit,2024-10-30 19:00:00
TRX-8186990,ENT-793655,VID-58571,N/A,ACC-005,2024-06-26,110.0,2718.0,0.0,2828.0,WildCard_Credit,2024-06-26 16:00:00
TRX-2770648,ENT-554582,VID-57472,N/A,ACC-041,2024-08-03,460.0,1797.0,0.0,2257.0,Cash,2024-08-03 15:00:00
TRX-9753457,ENT-782054,VID-45400,FG-079,ACC-035,2024-03-31,460.0,1026.0,750.0,2236.0,Cash,2024-03-31 19:00:00
TRX-2453962,ENT-392477,VID-69087,FG-032,ACC-049,2024-06-14,230.0,2184.0,550.0,2964.0,Cash,2024-06-14 11:00:00
TRX-9293086,ENT-992288,VID-52600,FG-024,ACC-032,2024-06-21,460.0,2899.0,750.0,4109.0,Debit Card,2024-06-21 08:00:00
TRX-5635017,ENT-682789,VID-11330,FG-067,ACC-013,2024-05-23,230.0,1458.0,550.0,2238.0,Credit Card,2024-05-23 17:00:00
TRX-5031966,ENT-824156,VID-72402,FG-083,ACC-046,2024-09-07,110.0,3349.0,750.0,4209.0,Cash,2024-09-07 16:00:00
TRX-7784725,ENT-825391,VID-41890,N/A,ACC-020,2024-05-30,230.0,470.0,0.0,700.0,WildCard_Credit,2024-05-30 11:00:00
TRX-6549757,ENT-468900,VID-69473,FG-035,ACC-020,2024-08-05,230.0,2338.0,550.0,3118.0,EFT,2024-08-05 19:00:00
TRX-9990305,ENT-899213,VID-34267,FG-025,ACC-014,2024-06-10,110.0,894.0,350.0,1354.0,Cash,2024-06-10 09:00:00
TRX-5970190,ENT-338533,VID-57301,FG-023,ACC-020,2024-02-21,230.0,3367.0,550.0,4147.0,Credit Card,2024-02-21 11:00:00
TRX-1914794,ENT-680238,VID-48290,FG-090,ACC-009,2024-05-20,460.0,2587.0,350.0,3397.0,Cash,2024-05-20 08:00:00
TRX-8389840,ENT-457256,VID-34164,FG-007,ACC-017,2024-08-28,110.0,450.0,550.0,1110.0,Cash,2024-08-28 15:00:00
TRX-1899411,ENT-259097,VID-29555,FG-073,ACC-020,2024-09-08,110.0,667.0,750.0,1527.0,Credit Card,2024-09-08 09:00:00
TRX-4786401,ENT-913373,VID-78494,FG-049,ACC-029,2024-11-06,110.0,885.0,750.0,1745.0,Cash,2024-11-06 17:00:00
TRX-2010496,ENT-739244,VID-23006,FG-098,ACC-014,2024-06-05,230.0,2810.0,750.0,3790.0,Debit Card,2024-06-05 17:00:00
TRX-3916107,ENT-678805,VID-19838,N/A,ACC-011,2024-03-21,230.0,3105.0,0.0,3335.0,Credit Card,2024-03-21 11:00:00
TRX-4883526,ENT-402099,VID-47056,FG-090,ACC-030,2024-05-29,230.0,2245.0,750.0,3225.0,Credit Card,2024-05-29 08:00:00
TRX-4318855,ENT-545790,VID-25043,FG-070,ACC-015,2024-11-16,460.0,1356.0,550.0,2366.0,Debit Card,2024-11-16 17:00:00
TRX-6160869,ENT-723948,VID-84607,N/A,ACC-019,2024-01-31,230.0,982.0,0.0,1212.0,Cash,2024-01-31 10:00:00
TRX-5567533,ENT-624783,VID-80776,FG-064,ACC-029,2024-12-24,110.0,2319.0,550.0,2979.0,Credit Card,2024-12-24 14:00:00
TRX-5200476,ENT-127121,VID-21970,FG-030,ACC-044,2024-06-14,460.0,563.0,750.0,1773.0,WildCard_Credit,2024-06-14 17:00:00
TRX-3939212,ENT-593355,VID-78021,FG-084,ACC-029,2024-10-22,460.0,484.0,550.0,1494.0,EFT,2024-10-22 08:00:00
TRX-2530793,ENT-592841,VID-55607,FG-053,ACC-022,2024-11-21,110.0,2797.0,750.0,3657.0,EFT,2024-11-21 15:00:00
TRX-9312590,ENT-402218,VID-96846,FG-052,ACC-049,2024-06-17,460.0,828.0,350.0,1638.0,WildCard_Credit,2024-06-17 14:00:00
TRX-6423634,ENT-221552,VID-62976,N/A,ACC-033,2024-06-10,110.0,2262.0,0.0,2372.0,Credit Card,2024-06-10 12:00:00
TRX-4147112,ENT-643623,VID-57419,FG-080,ACC-049,2024-07-30,460.0,2622.0,750.0,3832.0,Cash,2024-07-30 08:00:00
TRX-3198037,ENT-402020,VID-67424,N/A,ACC-045,2024-04-14,460.0,2210.0,0.0,2670.0,Cash,2024-04-14 12:00:00
TRX-6213522,ENT-677596,VID-11792,FG-071,ACC-027,2024-12-29,110.0,518.0,350.0,978.0,Credit Card,2024-12-29 10:00:00
TRX-3583206,ENT-622584,VID-48254,FG-066,ACC-046,2024-03-01,110.0,864.0,750.0,1724.0,EFT,2024-03-01 18:00:00
TRX-3426689,ENT-502219,VID-34983,FG-077,ACC-033,2024-05-04,230.0,2376.0,750.0,3356.0,Debit Card,2024-05-04 15:00:00
TRX-9518424,ENT-380150,VID-10336,FG-037,ACC-047,2024-06-23,110.0,1531.0,750.0,2391.0,EFT,2024-06-23 20:00:00
TRX-9125900,ENT-461888,VID-53573,FG-071,ACC-049,2024-03-17,460.0,2775.0,750.0,3985.0,WildCard_Credit,2024-03-17 15:00:00
TRX-5006492,ENT-699573,VID-60196,FG-030,ACC-050,2024-04-06,230.0,2265.0,550.0,3045.0,Cash,2024-04-06 19:00:00
TRX-7395997,ENT-504832,VID-96991,FG-084,ACC-010,2024-12-27,110.0,1703.0,750.0,2563.0,Cash,2024-12-27 20:00:00
TRX-2672884,ENT-651499,VID-69890,FG-002,ACC-047,2024-02-21,110.0,917.0,550.0,1577.0,Debit Card,2024-02-21 15:00:00
TRX-5446344,ENT-455007,VID-91691,FG-089,ACC-026,2024-02-08,230.0,3081.0,350.0,3661.0,Credit Card,2024-02-08 15:00:00
TRX-9186400,ENT-667296,VID-14705,FG-080,ACC-005,2024-06-11,230.0,3162.0,750.0,4142.0,Debit Card,2024-06-11 18:00:00
TRX-2516313,ENT-555052,VID-22903,FG-098,ACC-041,2024-04-26,460.0,3203.0,550.0,4213.0,Credit Card,2024-04-26 19:00:00
TRX-6442103,ENT-934816,VID-17355,FG-038,ACC-023,2024-01-15,230.0,1081.0,550.0,1861.0,EFT,2024-01-15 08:00:00
TRX-4020853,ENT-278240,VID-32946,FG-011,ACC-040,2024-09-28,230.0,996.0,350.0,1576.0,Cash,2024-09-28 14:00:00
TRX-3401116,ENT-343467,VID-70443,FG-082,ACC-017,2024-09-11,460.0,3198.0,350.0,4008.0,Cash,2024-09-11 17:00:00
TRX-3650391,ENT-177449,VID-67898,N/A,ACC-023,2024-08-26,230.0,3131.0,0.0,3361.0,WildCard_Credit,2024-08-26 12:00:00
TRX-8664433,ENT-986365,VID-49599,FG-026,ACC-025,2024-12-19,230.0,3017.0,750.0,3997.0,Cash,2024-12-19 12:00:00
TRX-5963914,ENT-833247,VID-48696,FG-003,ACC-043,2024-10-19,110.0,1371.0,750.0,2231.0,Cash,2024-10-19 13:00:00
TRX-9333700,ENT-973294,VID-47512,N/A,ACC-050,2024-11-06,230.0,433.0,0.0,663.0,Debit Card,2024-11-06 19:00:00
TRX-5204819,ENT-810687,VID-96400,FG-088,ACC-009,2024-11-21,460.0,1843.0,350.0,2653.0,Credit Card,2024-11-21 11:00:00
TRX-8395785,ENT-134985,VID-85965,N/A,ACC-024,2024-06-07,460.0,3047.0,0.0,3507.0,Debit Card,2024-06-07 20:00:00
TRX-4368777,ENT-238579,VID-80701,FG-047,ACC-034,2024-07-31,110.0,1608.0,550.0,2268.0,WildCard_Credit,2024-07-31 10:00:00
TRX-5951651,ENT-882824,VID-54396,FG-015,ACC-030,2024-09-03,230.0,1073.0,550.0,1853.0,Credit Card,2024-09-03 20:00:00
TRX-7667458,ENT-986827,VID-83048,FG-047,ACC-006,2024-12-12,110.0,3489.0,350.0,3949.0,Cash,2024-12-12 19:00:00
TRX-5398338,ENT-712955,VID-59941,N/A,ACC-041,2024-08-20,110.0,1483.0,0.0,1593.0,EFT,2024-08-20 13:00:00
TRX-6503032,ENT-739717,VID-39015,FG-083,ACC-005,2024-08-29,110.0,3164.0,350.0,3624.0,Cash,2024-08-29 08:00:00
TRX-1760793,ENT-139019,VID-49893,FG-064,ACC-008,2024-02-29,460.0,1637.0,750.0,2847.0,Credit Card,2024-02-29 10:00:00
TRX-7224540,ENT-803055,VID-80804,FG-054,ACC-038,2024-07-17,110.0,2601.0,350.0,3061.0,Debit Card,2024-07-17 15:00:00
TRX-7847048,ENT-393328,VID-14288,N/A,ACC-045,2024-09-07,230.0,3082.0,0.0,3312.0,EFT,2024-09-07 17:00:00
TRX-2666893,ENT-818987,VID-58147,FG-070,ACC-042,2024-04-30,110.0,2216.0,750.0,3076.0,EFT,2024-04-30 13:00:00
TRX-8628891,ENT-196126,VID-96870,FG-028,ACC-042,2024-04-07,110.0,2030.0,550.0,2690.0,WildCard_Credit,2024-04-07 09:00:00
TRX-4442778,ENT-171942,VID-82641,FG-027,ACC-038,2024-05-04,110.0,607.0,550.0,1267.0,Debit Card,2024-05-04 10:00:00
TRX-5651899,ENT-251716,VID-27038,FG-070,ACC-017,2024-11-01,110.0,1745.0,350.0,2205.0,Debit Card,2024-11-01 08:00:00
TRX-7010308,ENT-928358,VID-41186,N/A,ACC-038,2024-03-08,110.0,3107.0,0.0,3217.0,EFT,2024-03-08 08:00:00
TRX-8062546,ENT-651640,VID-24896,FG-096,ACC-005,2024-01-27,110.0,1113.0,550.0,1773.0,Cash,2024-01-27 10:00:00
TRX-4716988,ENT-744986,VID-15683,N/A,ACC-047,2024-08-19,230.0,1882.0,0.0,2112.0,WildCard_Credit,2024-08-19 16:00:00
TRX-7738019,ENT-546980,VID-99928,N/A,ACC-007,2024-02-01,230.0,2276.0,0.0,2506.0,Cash,2024-02-01 15:00:00
TRX-3488628,ENT-168872,VID-26540,N/A,ACC-018,2024-02-11,460.0,2216.0,0.0,2676.0,WildCard_Credit,2024-02-11 13:00:00
TRX-9901266,ENT-409222,VID-69469,FG-065,ACC-039,2024-07-14,460.0,2797.0,550.0,3807.0,Cash,2024-07-14 17:00:00
TRX-4607488,ENT-550961,VID-69186,N/A,ACC-015,2024-12-01,110.0,3274.0,0.0,3384.0,Cash,2024-12-01 18:00:00
TRX-2595275,ENT-427730,VID-65936,FG-041,ACC-043,2024-07-31,230.0,2257.0,750.0,3237.0,EFT,2024-07-31 19:00:00
TRX-2432176,ENT-197758,VID-66606,FG-013,ACC-048,2024-02-04,230.0,1025.0,750.0,2005.0,EFT,2024-02-04 09:00:00
TRX-6530541,ENT-802559,VID-26021,N/A,ACC-027,2024-10-27,110.0,2678.0,0.0,2788.0,EFT,2024-10-27 16:00:00
TRX-6242022,ENT-468727,VID-23579,FG-074,ACC-033,2024-01-27,460.0,3473.0,750.0,4683.0,Debit Card,2024-01-27 12:00:00
TRX-6873938,ENT-986438,VID-82910,FG-048,ACC-008,2024-04-24,110.0,3089.0,750.0,3949.0,EFT,2024-04-24 09:00:00
TRX-1440466,ENT-738577,VID-96223,FG-089,ACC-018,2024-10-14,460.0,1326.0,750.0,2536.0,Credit Card,2024-10-14 20:00:00
TRX-1102438,ENT-290217,VID-28776,FG-073,ACC-043,2024-06-22,110.0,1519.0,550.0,2179.0,Cash,2024-06-22 13:00:00
TRX-9900022,ENT-325583,VID-59308,N/A,ACC-027,2024-02-16,110.0,981.0,0.0,1091.0,Cash,2024-02-16 19:00:00
TRX-6442241,ENT-914571,VID-84395,FG-077,ACC-006,2024-06-08,230.0,1044.0,550.0,1824.0,Credit Card,2024-06-08 19:00:00
TRX-5565128,ENT-564637,VID-96761,N/A,ACC-028,2024-12-11,110.0,1044.0,0.0,1154.0,Cash,2024-12-11 09:00:00
TRX-9595744,ENT-219346,VID-55242,FG-056,ACC-008,2024-05-19,460.0,2210.0,750.0,3420.0,EFT,2024-05-19 11:00:00
TRX-6174418,ENT-147623,VID-38903,FG-051,ACC-039,2024-09-26,460.0,3179.0,750.0,4389.0,Credit Card,2024-09-26 18:00:00
TRX-3302417,ENT-901280,VID-43491,FG-038,ACC-021,2024-04-18,110.0,1237.0,550.0,1897.0,Credit Card,2024-04-18 20:00:00
TRX-7378822,ENT-658453,VID-40161,FG-065,ACC-036,2024-03-30,110.0,2437.0,750.0,3297.0,EFT,2024-03-30 10:00:00
TRX-8713396,ENT-181644,VID-51033,N/A,ACC-037,2024-08-11,110.0,2026.0,0.0,2136.0,Cash,2024-08-11 08:00:00
TRX-7795314,ENT-121869,VID-52568,FG-022,ACC-040,2024-05-28,460.0,2056.0,750.0,3266.0,Cash,2024-05-28 09:00:00
TRX-5082173,ENT-556839,VID-87184,N/A,ACC-026,2024-08-11,460.0,1882.0,0.0,2342.0,WildCard_Credit,2024-08-11 09:00:00
TRX-6587964,ENT-916964,VID-32037,FG-010,ACC-033,2024-06-22,110.0,2021.0,550.0,2681.0,Credit Card,2024-06-22 11:00:00
TRX-3477824,ENT-347745,VID-23474,FG-019,ACC-017,2024-06-27,460.0,2488.0,350.0,3298.0,Debit Card,2024-06-27 13:00:00
TRX-3972018,ENT-910389,VID-92306,FG-064,ACC-030,2024-12-01,110.0,2867.0,350.0,3327.0,WildCard_Credit,2024-12-01 09:00:00
TRX-3532644,ENT-561124,VID-18950,FG-061,ACC-029,2024-11-17,460.0,2238.0,550.0,3248.0,EFT,2024-11-17 13:00:00
TRX-2244712,ENT-425486,VID-70521,N/A,ACC-029,2024-06-29,230.0,2822.0,0.0,3052.0,Credit Card,2024-06-29 16:00:00
TRX-2514923,ENT-744883,VID-87867,FG-065,ACC-025,2024-02-09,110.0,1910.0,550.0,2570.0,Cash,2024-02-09 18:00:00
TRX-4158134,ENT-437145,VID-89299,N/A,ACC-031,2024-08-18,460.0,2670.0,0.0,3130.0,WildCard_Credit,2024-08-18 20:00:00
TRX-6761929,ENT-849014,VID-21053,FG-065,ACC-042,2024-02-22,110.0,653.0,750.0,1513.0,Debit Card,2024-02-22 20:00:00
TRX-9770256,ENT-739427,VID-30807,FG-047,ACC-024,2024-08-12,110.0,1414.0,750.0,2274.0,EFT,2024-08-12 16:00:00
TRX-1878547,ENT-927564,VID-92691,FG-083,ACC-022,2024-12-13,230.0,2074.0,550.0,2854.0,Credit Card,2024-12-13 17:00:00
TRX-3522845,ENT-449555,VID-20682,FG-075,ACC-043,2024-05-25,230.0,787.0,750.0,1767.0,Debit Card,2024-05-25 12:00:00
TRX-2421349,ENT-424620,VID-83259,FG-049,ACC-042,2024-03-07,230.0,1670.0,750.0,2650.0,EFT,2024-03-07 17:00:00
TRX-8103580,ENT-633188,VID-57425,N/A,ACC-002,2024-11-26,110.0,3144.0,0.0,3254.0,EFT,2024-11-26 18:00:00
TRX-9158272,ENT-301332,VID-39693,FG-018,ACC-010,2024-06-23,230.0,1138.0,350.0,1718.0,Credit Card,2024-06-23 20:00:00
TRX-3198638,ENT-726258,VID-59377,N/A,ACC-010,2024-12-04,230.0,814.0,0.0,1044.0,Debit Card,2024-12-04 13:00:00
TRX-7893063,ENT-481995,VID-98652,FG-093,ACC-016,2024-08-12,110.0,3237.0,350.0,3697.0,Cash,2024-08-12 08:00:00
TRX-5012581,ENT-424500,VID-71474,FG-025,ACC-024,2024-04-29,460.0,1567.0,750.0,2777.0,WildCard_Credit,2024-04-29 16:00:00
TRX-9849306,ENT-538997,VID-31241,FG-026,ACC-039,2024-07-14,230.0,2291.0,550.0,3071.0,Debit Card,2024-07-14 16:00:00
TRX-2721170,ENT-845957,VID-77621,FG-016,ACC-019,2024-07-09,230.0,613.0,750.0,1593.0,Credit Card,2024-07-09 16:00:00
TRX-8339571,ENT-196168,VID-39102,FG-058,ACC-023,2024-09-19,110.0,1517.0,750.0,2377.0,Credit Card,2024-09-19 10:00:00
TRX-4955699,ENT-504924,VID-20696,FG-048,ACC-015,2024-09-14,230.0,618.0,750.0,1598.0,Credit Card,2024-09-14 13:00:00
TRX-1642620,ENT-400814,VID-71925,FG-090,ACC-009,2024-03-15,230.0,805.0,550.0,1585.0,Cash,2024-03-15 10:00:00
TRX-5293691,ENT-326130,VID-29597,N/A,ACC-036,2024-02-10,230.0,2920.0,0.0,3150.0,WildCard_Credit,2024-02-10 08:00:00
TRX-6052478,ENT-227767,VID-16258,N/A,ACC-016,2024-05-27,460.0,2133.0,0.0,2593.0,Cash,2024-05-27 11:00:00
TRX-9385742,ENT-725726,VID-80261,FG-003,ACC-041,2024-02-02,460.0,2951.0,750.0,4161.0,WildCard_Credit,2024-02-02 09:00:00
TRX-1026245,ENT-744674,VID-56244,FG-031,ACC-037,2024-05-29,460.0,1390.0,350.0,2200.0,Cash,2024-05-29 14:00:00
TRX-2135470,ENT-651613,VID-81313,N/A,ACC-033,2024-09-25,110.0,3121.0,0.0,3231.0,WildCard_Credit,2024-09-25 13:00:00
TRX-7490791,ENT-491435,VID-43246,FG-096,ACC-002,2024-08-28,460.0,483.0,750.0,1693.0,EFT,2024-08-28 08:00:00
TRX-2739191,ENT-908977,VID-86271,FG-095,ACC-049,2024-12-02,110.0,1812.0,350.0,2272.0,EFT,2024-12-02 18:00:00
TRX-3937508,ENT-970720,VID-99742,FG-060,ACC-045,2024-10-06,110.0,581.0,550.0,1241.0,Cash,2024-10-06 13:00:00
