EntryID,VisitorID,EntryDate,ExitDate,EntryGateID,AccID,VehicleReg,InsertedDate,ModifiedDate
ENT-208618,VID-27601,2024-09-27 06:00,2024-10-03 10:00,G09,ACC-008,XT 12 XT MP,2024-09-17 06:00:00,2024-09-22 06:00:00
ENT-363319,VID-16658,2024-06-24 09:00,2024-06-30 09:00,G03,ACC-041,LH 07 LH ZN,2024-06-07 09:00:00,2024-06-10 09:00:00
ENT-548462,VID-83519,2024-05-14 08:00,2024-05-20 11:00,G01,ACC-008,BW 95 BW L,2024-04-26 08:00:00,2024-05-01 08:00:00
ENT-423232,VID-57795,2024-10-25 14:00,2024-10-27 16:00,G02,ACC-023,FG 17 FG NW,2024-10-20 14:00:00,2024-10-20 14:00:00
ENT-938742,VID-33206,2024-11-13 17:00,2024-11-15 16:00,G14,ACC-002,EY 74 EY ZN,2024-10-16 17:00:00,2024-10-17 17:00:00
ENT-593554,VID-39154,2024-05-07 10:00,2024-05-09 07:00,G07,ACC-030,JV 82 JV ZN,2024-04-24 10:00:00,2024-04-24 10:00:00
ENT-910891,VID-46585,2024-04-08 12:00,2024-04-11 12:00,G12,ACC-042,NR 83 NR GP,2024-03-11 12:00:00,2024-03-11 12:00:00
ENT-725550,VID-66959,2024-02-29 10:00,2024-03-02 10:00,G12,ACC-047,UL 91 UL FS,2024-02-27 10:00:00,2024-02-27 10:00:00
ENT-945687,VID-80575,2024-04-07 10:00,2024-04-08 12:00,G07,ACC-024,LY 96 LY ZN,2024-04-06 10:00:00,2024-04-10 10:00:00
ENT-528231,VID-52753,2024-03-04 17:00,2024-03-07 21:00,G13,ACC-045,HD 49 HD ZN,2024-02-23 17:00:00,2024-02-28 17:00:00
ENT-974224,VID-10053,2024-03-30 15:00,2024-04-04 15:00,G10,ACC-019,FU 63 FU NW,2024-03-17 15:00:00,2024-03-21 15:00:00
ENT-277934,VID-96356,2024-08-14 16:00,2024-08-16 20:00,G03,ACC-019,NQ 38 NQ MP,2024-07-29 16:00:00,2024-08-03 16:00:00
ENT-148458,VID-42092,2024-12-10 10:00,2024-12-12 09:00,G16,ACC-040,WB 46 WB MP,2024-12-05 10:00:00,2024-12-05 10:00:00
ENT-787926,VID-10726,2024-12-22 12:00,2024-12-26 14:00,G04,ACC-050,LE 95 LE GP,2024-12-14 12:00:00,2024-12-15 12:00:00
ENT-940346,VID-70901,2024-10-12 09:00,2024-10-19 06:00,G17,ACC-036,PY 86 PY ZN,2024-09-27 09:00:00,2024-09-28 09:00:00
ENT-879779,VID-72216,2024-09-15 12:00,2024-09-22 16:00,G15,ACC-017,TV 27 TV NW,2024-08-31 12:00:00,2024-09-01 12:00:00
ENT-399607,VID-40735,2024-11-16 09:00,2024-11-19 12:00,G09,ACC-022,IO 12 IO ZN,2024-11-13 09:00:00,2024-11-18 09:00:00
ENT-446954,VID-81121,2024-03-19 17:00,2024-03-21 14:00,G15,ACC-027,BV 37 BV ZN,2024-03-05 17:00:00,2024-03-08 17:00:00
ENT-468845,VID-49139,2024-01-11 18:00,2024-01-16 20:00,G13,ACC-027,NT 78 NT NW,2023-12-26 18:00:00,2023-12-26 18:00:00
ENT-452457,VID-97670,2024-04-22 10:00,2024-04-26 13:00,G13,ACC-047,EM 16 EM GP,2024-04-21 10:00:00,2024-04-24 10:00:00
ENT-549433,VID-27786,2024-07-20 15:00,2024-07-25 11:00,G15,ACC-012,BJ 23 BJ NW,2024-07-17 15:00:00,2024-07-22 15:00:00
ENT-593152,VID-12540,2024-05-22 18:00,2024-05-29 20:00,G18,ACC-004,ZJ 67 ZJ ZN,2024-05-13 18:00:00,2024-05-13 18:00:00
ENT-751517,VID-29973,2024-01-21 18:00,2024-01-22 17:00,G08,ACC-009,MC 94 MC L,2024-01-14 18:00:00,2024-01-14 18:00:00
ENT-426147,VID-24168,2024-07-07 08:00,2024-07-12 05:00,G19,ACC-002,YO 93 YO ZN,2024-06-12 08:00:00,2024-06-13 08:00:00
ENT-910004,VID-49529,2024-04-11 07:00,2024-04-16 06:00,G20,ACC-008,UO 05 UO ZN,2024-04-07 07:00:00,2024-04-12 07:00:00
ENT-962276,VID-74251,2024-07-08 07:00,2024-07-13 08:00,G04,ACC-028,YQ 87 YQ NW,2024-07-07 07:00:00,2024-07-10 07:00:00
ENT-912270,VID-73372,2024-03-31 17:00,2024-04-05 17:00,G15,ACC-028,VP 32 VP GP,2024-03-11 17:00:00,2024-03-15 17:00:00
ENT-800646,VID-59674,2024-05-22 13:00,2024-05-24 16:00,G11,ACC-002,MI 43 MI L,2024-05-03 13:00:00,2024-05-07 13:00:00
ENT-641722,VID-35042,2024-06-23 10:00,2024-06-28 10:00,G03,ACC-016,SM 76 SM ZN,2024-06-05 10:00:00,2024-06-05 10:00:00
ENT-332360,VID-63005,2024-12-30 13:00,2025-01-03 09:00,G08,ACC-020,RJ 53 RJ ZN,2024-12-27 13:00:00,2024-12-29 13:00:00
ENT-363615,VID-40217,2024-10-08 11:00,2024-10-11 14:00,G04,ACC-047,FD 57 FD MP,2024-09-29 11:00:00,2024-10-01 11:00:00
ENT-718226,VID-78765,2024-04-08 09:00,2024-04-14 12:00,G20,ACC-019,ZV 23 ZV L,2024-03-30 09:00:00,2024-04-04 09:00:00
ENT-157174,VID-82529,2024-01-08 17:00,2024-01-13 15:00,G10,ACC-045,YQ 71 YQ GP,2023-12-30 17:00:00,2023-12-30 17:00:00
ENT-293319,VID-16734,2024-10-20 10:00,2024-10-24 13:00,G09,ACC-031,CB 45 CB ZN,2024-10-05 10:00:00,2024-10-07 10:00:00
ENT-224205,VID-83147,2024-01-28 08:00,2024-01-30 08:00,G14,ACC-039,PQ 73 PQ NW,2024-01-25 08:00:00,2024-01-26 08:00:00
ENT-163156,VID-89905,2024-06-01 15:00,2024-06-05 15:00,G04,ACC-049,FF 61 FF MP,2024-05-13 15:00:00,2024-05-17 15:00:00
ENT-822858,VID-87832,2024-10-09 07:00,2024-10-11 03:00,G16,ACC-019,AH 28 AH GP,2024-09-25 07:00:00,2024-09-28 07:00:00
ENT-671015,VID-39466,2024-12-17 09:00,2024-12-20 08:00,G05,ACC-018,VB 13 VB ZN,2024-12-03 09:00:00,2024-12-03 09:00:00
ENT-418862,VID-62757,2024-10-18 10:00,2024-10-22 07:00,G09,ACC-033,OL 58 OL ZN,2024-10-03 10:00:00,2024-10-08 10:00:00
ENT-807053,VID-85392,2024-06-14 15:00,2024-06-17 11:00,G19,ACC-002,ZR 20 ZR MP,2024-06-11 15:00:00,2024-06-12 15:00:00
ENT-290305,VID-86720,2024-08-28 14:00,2024-09-03 17:00,G14,ACC-041,VZ 44 VZ L,2024-07-29 14:00:00,2024-07-31 14:00:00
ENT-827369,VID-74942,2024-12-09 07:00,2024-12-16 05:00,G10,ACC-043,YV 54 YV L,2024-11-28 07:00:00,2024-12-01 07:00:00
ENT-964998,VID-10150,2024-05-09 11:00,2024-05-10 13:00,G18,ACC-030,KE 37 KE ZN,2024-04-11 11:00:00,2024-04-15 11:00:00
ENT-237377,VID-47752,2024-08-14 18:00,2024-08-15 17:00,G15,ACC-045,MA 67 MA ZN,2024-08-05 18:00:00,2024-08-09 18:00:00
ENT-197736,VID-39451,2024-03-22 10:00,2024-03-27 06:00,G04,ACC-030,YQ 19 YQ L,2024-03-04 10:00:00,2024-03-07 10:00:00
ENT-595158,VID-41946,2024-09-17 17:00,2024-09-20 19:00,G15,ACC-036,DE 57 DE MP,2024-08-21 17:00:00,2024-08-24 17:00:00
ENT-380150,VID-10336,2024-02-05 10:00,2024-02-12 12:00,G10,ACC-047,HP 94 HP MP,2024-01-25 10:00:00,2024-01-29 10:00:00
ENT-899929,VID-81228,2024-08-16 14:00,2024-08-20 15:00,G13,ACC-030,YW 92 YW NW,2024-08-05 14:00:00,2024-08-09 14:00:00
ENT-595951,VID-59968,2024-04-29 18:00,2024-05-03 14:00,G13,ACC-043,UQ 19 UQ MP,2024-04-18 18:00:00,2024-04-23 18:00:00
ENT-204555,VID-78937,2024-09-14 15:00,2024-09-17 12:00,G15,ACC-001,SK 61 SK NW,2024-08-17 15:00:00,2024-08-20 15:00:00
ENT-993140,VID-53065,2024-05-15 11:00,2024-05-20 13:00,G18,ACC-025,YQ 84 YQ FS,2024-04-24 11:00:00,2024-04-24 11:00:00
ENT-401338,VID-39817,2024-01-19 15:00,2024-01-20 14:00,G03,ACC-028,ZT 71 ZT MP,2023-12-29 15:00:00,2024-01-03 15:00:00
ENT-407618,VID-56984,2024-12-21 10:00,2024-12-22 06:00,G12,ACC-028,DN 57 DN MP,2024-12-10 10:00:00,2024-12-10 10:00:00
ENT-352528,VID-75230,2024-03-30 07:00,2024-04-04 09:00,G19,ACC-010,GQ 46 GQ NW,2024-03-10 07:00:00,2024-03-15 07:00:00
ENT-462351,VID-87014,2024-05-27 16:00,2024-06-01 14:00,G10,ACC-041,ZR 43 ZR NW,2024-05-24 16:00:00,2024-05-27 16:00:00
ENT-702733,VID-48780,2024-09-04 07:00,2024-09-06 09:00,G10,ACC-002,ZR 25 ZR ZN,2024-08-16 07:00:00,2024-08-18 07:00:00
ENT-913423,VID-40162,2024-01-26 15:00,2024-02-01 18:00,G20,ACC-023,FE 27 FE ZN,2023-12-30 15:00:00,2024-01-01 15:00:00
ENT-777737,VID-15167,2024-12-14 08:00,2024-12-20 05:00,G10,ACC-029,AJ 19 AJ L,2024-11-15 08:00:00,2024-11-20 08:00:00
ENT-483629,VID-79579,2024-07-31 08:00,2024-08-02 06:00,G17,ACC-018,VG 84 VG L,2024-07-05 08:00:00,2024-07-09 08:00:00
ENT-890785,VID-39571,2024-06-22 18:00,2024-06-23 21:00,G13,ACC-036,JU 05 JU NW,2024-06-19 18:00:00,2024-06-20 18:00:00
ENT-962367,VID-93695,2024-07-07 16:00,2024-07-13 16:00,G12,ACC-007,RM 69 RM L,2024-06-18 16:00:00,2024-06-21 16:00:00
ENT-835132,VID-49608,2024-11-08 09:00,2024-11-14 06:00,G14,ACC-008,DY 34 DY GP,2024-10-18 09:00:00,2024-10-21 09:00:00
ENT-803055,VID-80804,2024-04-30 14:00,2024-05-02 16:00,G14,ACC-038,TE 40 TE NW,2024-04-15 14:00:00,2024-04-17 14:00:00
ENT-327823,VID-68115,2024-11-11 12:00,2024-11-14 08:00,G15,ACC-016,WC 65 WC ZN,2024-10-19 12:00:00,2024-10-21 12:00:00
ENT-989227,VID-69600,2024-07-02 06:00,2024-07-06 06:00,G03,ACC-043,FQ 90 FQ L,2024-06-25 06:00:00,2024-06-25 06:00:00
ENT-317220,VID-86858,2024-05-04 08:00,2024-05-11 07:00,G07,ACC-015,ID 90 ID MP,2024-05-01 08:00:00,2024-05-05 08:00:00
ENT-127032,VID-27275,2024-03-07 14:00,2024-03-10 12:00,G01,ACC-023,UG 31 UG GP,2024-03-03 14:00:00,2024-03-08 14:00:00
ENT-166645,VID-72422,2024-03-05 17:00,2024-03-09 21:00,G15,ACC-050,JP 42 JP FS,2024-03-01 17:00:00,2024-03-06 17:00:00
ENT-774591,VID-14082,2024-01-23 17:00,2024-01-30 21:00,G02,ACC-031,WL 17 WL NW,2024-01-13 17:00:00,2024-01-16 17:00:00
ENT-388375,VID-91830,2024-02-07 07:00,2024-02-10 05:00,G19,ACC-036,SJ 52 SJ FS,2024-02-04 07:00:00,2024-02-05 07:00:00
ENT-782535,VID-82264,2024-11-05 12:00,2024-11-06 09:00,G07,ACC-028,LF 34 LF NW,2024-10-08 12:00:00,2024-10-13 12:00:00
ENT-492483,VID-30006,2024-02-18 11:00,2024-02-22 12:00,G16,ACC-005,CC 47 CC L,2024-01-27 11:00:00,2024-01-29 11:00:00
ENT-802559,VID-26021,2024-03-07 14:00,2024-03-08 18:00,G14,ACC-023,WY 49 WY GP,2024-02-18 14:00:00,2024-02-20 14:00:00
ENT-632060,VID-37884,2024-05-27 15:00,2024-05-30 16:00,G05,ACC-043,MW 35 MW GP,2024-05-23 15:00:00,2024-05-27 15:00:00
ENT-904711,VID-91490,2024-05-22 15:00,2024-05-24 17:00,G20,ACC-044,QA 98 QA L,2024-04-24 15:00:00,2024-04-28 15:00:00
ENT-468074,VID-10800,2024-01-15 08:00,2024-01-18 08:00,G06,ACC-010,OK 16 OK GP,2023-12-16 08:00:00,2023-12-18 08:00:00
ENT-575682,VID-54681,2024-02-16 17:00,2024-02-21 16:00,G06,ACC-024,II 95 II GP,2024-02-03 17:00:00,2024-02-06 17:00:00
ENT-385320,VID-68079,2024-03-20 08:00,2024-03-27 04:00,G14,ACC-032,PK 25 PK L,2024-02-27 08:00:00,2024-02-27 08:00:00
ENT-423401,VID-15952,2024-08-08 07:00,2024-08-11 10:00,G08,ACC-026,ZB 29 ZB MP,2024-07-22 07:00:00,2024-07-27 07:00:00
ENT-883301,VID-66446,2024-05-10 10:00,2024-05-13 07:00,G06,ACC-009,JS 58 JS L,2024-05-09 10:00:00,2024-05-12 10:00:00
ENT-582087,VID-20205,2024-02-06 12:00,2024-02-13 08:00,G11,ACC-037,LK 62 LK NW,2024-01-23 12:00:00,2024-01-23 12:00:00
ENT-479430,VID-21551,2024-01-11 11:00,2024-01-13 14:00,G14,ACC-007,GP 53 GP L,2023-12-15 11:00:00,2023-12-20 11:00:00
ENT-763984,VID-24945,2024-06-22 09:00,2024-06-25 07:00,G17,ACC-033,FU 39 FU ZN,2024-06-19 09:00:00,2024-06-23 09:00:00
ENT-281926,VID-88957,2024-03-16 09:00,2024-03-17 07:00,G05,ACC-049,TB 96 TB NW,2024-03-07 09:00:00,2024-03-08 09:00:00
ENT-774225,VID-93269,2024-10-15 18:00,2024-10-20 21:00,G20,ACC-021,WQ 10 WQ NW,2024-09-23 18:00:00,2024-09-27 18:00:00
ENT-469038,VID-76497,2024-11-19 10:00,2024-11-26 10:00,G03,ACC-020,MA 32 MA ZN,2024-10-31 10:00:00,2024-10-31 10:00:00
ENT-708519,VID-82655,2024-02-16 15:00,2024-02-21 19:00,G02,ACC-029,XO 16 XO FS,2024-02-03 15:00:00,2024-02-06 15:00:00
ENT-849014,VID-21053,2024-03-18 06:00,2024-03-22 03:00,G17,ACC-042,EG 44 EG FS,2024-02-21 06:00:00,2024-02-23 06:00:00
ENT-506235,VID-63578,2024-11-08 08:00,2024-11-11 09:00,G11,ACC-044,PU 60 PU GP,2024-10-09 08:00:00,2024-10-11 08:00:00
ENT-992931,VID-96057,2024-10-12 16:00,2024-10-16 16:00,G20,ACC-010,IP 13 IP ZN,2024-10-03 16:00:00,2024-10-08 16:00:00
ENT-188834,VID-50577,2024-12-23 16:00,2024-12-27 14:00,G18,ACC-025,QI 17 QI ZN,2024-12-03 16:00:00,2024-12-08 16:00:00
ENT-119116,VID-57526,2024-12-16 14:00,2024-12-17 16:00,G10,ACC-012,YI 71 YI MP,2024-11-29 14:00:00,2024-12-01 14:00:00
ENT-975686,VID-79013,2024-03-20 07:00,2024-03-23 04:00,G02,ACC-043,IT 13 IT MP,2024-03-03 07:00:00,2024-03-07 07:00:00
ENT-145814,VID-63852,2024-04-02 17:00,2024-04-09 15:00,G12,ACC-044,SZ 67 SZ NW,2024-03-09 17:00:00,2024-03-12 17:00:00
ENT-975679,VID-35430,2024-04-29 14:00,2024-05-01 14:00,G12,ACC-044,YZ 42 YZ NW,2024-04-03 14:00:00,2024-04-06 14:00:00
ENT-940181,VID-89254,2024-09-14 14:00,2024-09-18 12:00,G05,ACC-017,BM 39 BM ZN,2024-08-18 14:00:00,2024-08-19 14:00:00
ENT-386042,VID-68893,2024-09-21 07:00,2024-09-24 04:00,G17,ACC-010,VC 98 VC L,2024-08-27 07:00:00,2024-08-28 07:00:00
ENT-347231,VID-60615,2024-01-14 12:00,2024-01-15 14:00,G03,ACC-024,FI 07 FI L,2023-12-28 12:00:00,2023-12-30 12:00:00
ENT-829884,VID-28191,2024-03-15 08:00,2024-03-16 08:00,G16,ACC-029,PX 02 PX MP,2024-02-14 08:00:00,2024-02-17 08:00:00
ENT-913875,VID-47762,2024-10-07 17:00,2024-10-12 21:00,G08,ACC-020,DG 66 DG GP,2024-09-23 17:00:00,2024-09-23 17:00:00
ENT-640410,VID-85372,2024-02-26 13:00,2024-03-02 17:00,G08,ACC-046,DL 62 DL NW,2024-02-25 13:00:00,2024-03-01 13:00:00
ENT-170966,VID-78951,2024-04-05 16:00,2024-04-11 13:00,G18,ACC-033,UN 08 UN GP,2024-03-19 16:00:00,2024-03-21 16:00:00
ENT-474440,VID-18855,2024-11-21 12:00,2024-11-24 12:00,G12,ACC-016,TQ 77 TQ L,2024-10-28 12:00:00,2024-10-28 12:00:00
ENT-283594,VID-99742,2024-03-09 06:00,2024-03-12 10:00,G15,ACC-045,ME 17 ME NW,2024-02-27 06:00:00,2024-03-03 06:00:00
ENT-143941,VID-51365,2024-01-19 10:00,2024-01-21 06:00,G10,ACC-033,KV 40 KV ZN,2023-12-24 10:00:00,2023-12-25 10:00:00
ENT-448048,VID-45811,2024-04-07 10:00,2024-04-10 06:00,G04,ACC-024,LK 49 LK L,2024-03-10 10:00:00,2024-03-15 10:00:00
ENT-379676,VID-20828,2024-04-05 13:00,2024-04-11 16:00,G14,ACC-006,LZ 12 LZ GP,2024-03-24 13:00:00,2024-03-28 13:00:00
ENT-731894,VID-65851,2024-02-10 11:00,2024-02-16 11:00,G06,ACC-045,LL 79 LL FS,2024-01-31 11:00:00,2024-02-03 11:00:00
ENT-768480,VID-63242,2024-08-10 10:00,2024-08-16 06:00,G12,ACC-033,UR 91 UR FS,2024-08-07 10:00:00,2024-08-12 10:00:00
ENT-347459,VID-94562,2024-12-13 18:00,2024-12-17 14:00,G12,ACC-024,JO 66 JO L,2024-12-08 18:00:00,2024-12-08 18:00:00
ENT-655178,VID-58096,2024-07-09 13:00,2024-07-16 10:00,G13,ACC-021,QG 17 QG NW,2024-06-20 13:00:00,2024-06-21 13:00:00
ENT-838237,VID-68493,2024-09-22 12:00,2024-09-27 09:00,G07,ACC-040,HX 41 HX GP,2024-09-13 12:00:00,2024-09-15 12:00:00
ENT-986593,VID-51889,2024-08-19 08:00,2024-08-25 11:00,G12,ACC-046,BO 88 BO ZN,2024-08-16 08:00:00,2024-08-21 08:00:00
ENT-633469,VID-39391,2024-12-29 17:00,2025-01-04 15:00,G04,ACC-013,UG 43 UG FS,2024-12-03 17:00:00,2024-12-05 17:00:00
ENT-190403,VID-18617,2024-07-07 13:00,2024-07-14 17:00,G10,ACC-026,ZS 57 ZS FS,2024-07-02 13:00:00,2024-07-06 13:00:00
ENT-813145,VID-77811,2024-02-07 08:00,2024-02-10 05:00,G12,ACC-009,WU 61 WU MP,2024-01-23 08:00:00,2024-01-26 08:00:00
ENT-643269,VID-30056,2024-08-09 14:00,2024-08-16 10:00,G10,ACC-011,EY 29 EY FS,2024-07-13 14:00:00,2024-07-13 14:00:00
ENT-387782,VID-26406,2024-05-25 07:00,2024-05-28 06:00,G10,ACC-040,NN 19 NN MP,2024-05-04 07:00:00,2024-05-08 07:00:00
ENT-143195,VID-13718,2024-03-28 16:00,2024-04-02 17:00,G03,ACC-003,YU 22 YU FS,2024-03-01 16:00:00,2024-03-05 16:00:00
ENT-672079,VID-47967,2024-08-01 15:00,2024-08-07 11:00,G10,ACC-031,GU 44 GU ZN,2024-07-16 15:00:00,2024-07-21 15:00:00
ENT-313933,VID-54589,2024-01-31 08:00,2024-02-04 10:00,G20,ACC-010,IS 78 IS NW,2024-01-15 08:00:00,2024-01-18 08:00:00
ENT-434617,VID-41685,2024-03-07 18:00,2024-03-10 22:00,G15,ACC-008,GG 02 GG NW,2024-02-18 18:00:00,2024-02-18 18:00:00
ENT-705748,VID-50988,2024-11-11 12:00,2024-11-13 10:00,G07,ACC-049,EZ 48 EZ NW,2024-10-15 12:00:00,2024-10-17 12:00:00
ENT-325595,VID-86460,2024-01-12 07:00,2024-01-16 11:00,G12,ACC-004,BM 86 BM NW,2023-12-28 07:00:00,2023-12-29 07:00:00
ENT-377319,VID-57943,2024-05-26 14:00,2024-05-27 11:00,G13,ACC-024,BB 53 BB L,2024-05-12 14:00:00,2024-05-13 14:00:00
ENT-393308,VID-91689,2024-02-07 12:00,2024-02-12 15:00,G20,ACC-008,DC 39 DC FS,2024-01-13 12:00:00,2024-01-17 12:00:00
ENT-520884,VID-75546,2024-07-06 18:00,2024-07-08 17:00,G02,ACC-003,BS 85 BS MP,2024-06-16 18:00:00,2024-06-20 18:00:00
ENT-434002,VID-31299,2024-11-06 14:00,2024-11-08 15:00,G13,ACC-040,TH 38 TH FS,2024-10-07 14:00:00,2024-10-11 14:00:00
ENT-486251,VID-53416,2024-09-07 17:00,2024-09-12 17:00,G04,ACC-027,PU 76 PU GP,2024-08-22 17:00:00,2024-08-22 17:00:00
ENT-711868,VID-72973,2024-11-01 13:00,2024-11-04 12:00,G06,ACC-034,QQ 81 QQ ZN,2024-10-08 13:00:00,2024-10-08 13:00:00
ENT-562462,VID-51116,2024-05-04 06:00,2024-05-09 03:00,G14,ACC-010,KF 56 KF NW,2024-04-27 06:00:00,2024-04-27 06:00:00
ENT-440839,VID-96799,2024-02-01 17:00,2024-02-03 21:00,G16,ACC-034,JY 45 JY FS,2024-01-25 17:00:00,2024-01-29 17:00:00
ENT-301603,VID-42311,2024-06-30 16:00,2024-07-07 16:00,G09,ACC-036,HY 97 HY ZN,2024-06-10 16:00:00,2024-06-13 16:00:00
ENT-465746,VID-83464,2024-04-16 17:00,2024-04-22 20:00,G09,ACC-019,DR 39 DR L,2024-04-05 17:00:00,2024-04-08 17:00:00
ENT-463188,VID-67983,2024-03-15 10:00,2024-03-16 10:00,G09,ACC-048,MF 59 MF ZN,2024-02-21 10:00:00,2024-02-21 10:00:00
ENT-802371,VID-79604,2024-05-19 08:00,2024-05-20 07:00,G08,ACC-041,GC 34 GC ZN,2024-05-11 08:00:00,2024-05-11 08:00:00
ENT-598807,VID-72580,2024-03-11 06:00,2024-03-16 04:00,G07,ACC-049,ZI 69 ZI GP,2024-02-26 06:00:00,2024-03-02 06:00:00
ENT-991638,VID-14888,2024-11-29 15:00,2024-12-01 19:00,G06,ACC-027,WE 99 WE NW,2024-11-05 15:00:00,2024-11-10 15:00:00
ENT-109717,VID-49110,2024-09-10 08:00,2024-09-16 08:00,G19,ACC-039,CZ 29 CZ FS,2024-08-12 08:00:00,2024-08-12 08:00:00
ENT-302177,VID-24764,2024-09-25 13:00,2024-09-27 17:00,G11,ACC-011,TQ 70 TQ L,2024-09-10 13:00:00,2024-09-12 13:00:00
ENT-997734,VID-93719,2024-05-31 15:00,2024-06-06 14:00,G13,ACC-028,NC 61 NC MP,2024-05-25 15:00:00,2024-05-29 15:00:00
ENT-346961,VID-68554,2024-09-01 11:00,2024-09-03 07:00,G09,ACC-022,HS 06 HS ZN,2024-08-23 11:00:00,2024-08-26 11:00:00
ENT-267475,VID-63138,2024-04-30 06:00,2024-05-06 03:00,G17,ACC-046,UR 69 UR L,2024-04-15 06:00:00,2024-04-17 06:00:00
ENT-577079,VID-89395,2024-11-10 09:00,2024-11-12 07:00,G12,ACC-027,SX 78 SX MP,2024-10-25 09:00:00,2024-10-26 09:00:00
ENT-653829,VID-57419,2024-05-06 16:00,2024-05-13 13:00,G03,ACC-037,CV 92 CV FS,2024-04-19 16:00:00,2024-04-22 16:00:00
ENT-813341,VID-36922,2024-03-17 08:00,2024-03-20 12:00,G19,ACC-032,CN 84 CN FS,2024-03-02 08:00:00,2024-03-02 08:00:00
ENT-805448,VID-50392,2024-07-31 13:00,2024-08-05 09:00,G01,ACC-026,GA 20 GA NW,2024-07-13 13:00:00,2024-07-16 13:00:00
ENT-595002,VID-14159,2024-06-25 17:00,2024-06-26 21:00,G10,ACC-027,ED 67 ED NW,2024-06-23 17:00:00,2024-06-23 17:00:00
